epoch,loss,metric
1,0.794210,0.776190
2,0.541469,0.808730
3,0.410653,0.898413
4,0.318069,0.911111
5,0.270246,0.923016
6,0.245159,0.938095
7,0.203308,0.954762
8,0.182998,0.931746
9,0.154658,0.953968
10,0.147210,0.959524
11,0.143907,0.961111
12,0.125623,0.969841
13,0.109335,0.968254
14,0.103633,0.978571
15,0.100769,0.970635
16,0.086689,0.965873
17,0.082186,0.976190
18,0.073296,0.976190
19,0.064770,0.967460
20,0.064142,0.973016
21,0.064271,0.977778
22,0.049105,0.973016
23,0.051673,0.970635
24,0.042635,0.982540
25,0.044300,0.969048
26,0.043539,0.974603
27,0.039380,0.974603
28,0.029265,0.979365
29,0.036762,0.980952
30,0.044098,0.971429
31,0.031990,0.975397
32,0.016650,0.968254
33,0.043472,0.970635
34,0.023177,0.979365
35,0.030720,0.969048
36,0.028724,0.974603
37,0.021153,0.969048
38,0.029304,0.978571
39,0.018214,0.982540
40,0.028220,0.983333
41,0.013445,0.977778
42,0.021814,0.966667
43,0.026391,0.978571
44,0.019779,0.974603
45,0.018749,0.976984
46,0.015623,0.972222
47,0.019875,0.980952
48,0.018430,0.975397
49,0.016945,0.968254
50,0.015173,0.978571
51,0.020986,0.978571
52,0.014505,0.974603
53,0.015078,0.979365
54,0.017950,0.962698
55,0.014279,0.981746
56,0.022042,0.980952
57,0.012169,0.974603
58,0.011228,0.978571
59,0.012174,0.976984
60,0.016733,0.975397
61,0.010982,0.980159
62,0.007905,0.969048
63,0.023055,0.978571
64,0.006476,0.973810
65,0.016878,0.973810
66,0.010929,0.976190
67,0.004972,0.978571
68,0.019667,0.974603
69,0.012555,0.977778
70,0.010194,0.984127
71,0.013548,0.979365
72,0.011829,0.980159
73,0.018213,0.973810
74,0.012703,0.976984
75,0.004983,0.979365
76,0.013402,0.977778
77,0.017588,0.984127
78,0.002080,0.980952
79,0.008308,0.977778
80,0.010149,0.978571
81,0.010548,0.973810
82,0.011851,0.976190
83,0.002434,0.978571
84,0.013157,0.976984
85,0.011775,0.977778
86,0.007688,0.978571
87,0.010865,0.976984
88,0.009202,0.980159
89,0.010592,0.983333
90,0.010489,0.972222
91,0.004555,0.978571
92,0.017156,0.980952
93,0.012057,0.980952
94,0.005160,0.978571
95,0.008984,0.979365
96,0.006956,0.976984
97,0.000928,0.976984
98,0.005816,0.980159
99,0.013392,0.975397
100,0.011596,0.980952
